Name	Id	*StringName	GroupName
Act 3 - Forgotten Reliquary	60	Forgotten Reliquary	[jg]Forgotten Reliquary
Act 3 - Forgotten Temple	61	Forgotten Temple	[jg]Forgotten Temple
Act 3 - Ruined Fane	62	Ruined Fane	[jg]Ruined Fane
Act 3 - Disused Reliquary	63	Disused Reliquary	[jg]Disused Reliquary
Act 3 - Durance of Hate	64	Durance of Hate	[jg]Durance of Hate
Act 4 - Town	65	The Pandemonium Fortress	[jg]The Pandemonium Fortress
Act 4 - Outer Steppes	66	Outer Steppes	[jg]Outer Steppes
Act 4 - Plains of Despair	67	Plains of Despair	[jg]Plains of Despair
Act 4 - City of the Damned	68	City of the Damned	[jg]City of the Damned
Act 4 - River of Flame	69	River of Flame	[jg]River of Flame
Act 4 - Chaos Sanctuary	70	The Chaos Sanctuary	[jg]Chaos Sanctum
Expansion			
Act 5 - Town	71	Harrogath	[jg]Harrogath
Act 5 - Bloody Foothills	72	Bloody Foothills	[jg]Bloody Foothills
Act 5 - Frigid Highlands	73	Frigid Highlands	[jg]Rigid Highlands
Act 5 - Arreat Plateau	74	Arreat Plateau	[jg]Arreat Plateau
Act 5 - Crystalline Passage	75	Crystalline Passage	[jg]Crystalized Cavern Level 1
Act 5 - Frozen River	76	Frozen River	[jg]Cellar of Pity
Act 5 - Glacial Trail	77	Glacial Trail	[jg]Crystalized Cavern Level 2
Act 5 - Drifter Cavern	78	Drifter Cavern	[jg]Echo Chamber
Act 5 - Frozen Tundra	79	Frozen Tundra	[jg]Tundra Wastelands
Act 5 - The Ancient's Way	80	The Ancients' Way	[jg]Glacial Caves Level 1
Act 5 - Icy Cellar	81	Icy Cellar	[jg]Glacial Caves Level 2
Act 5 - Arreat Summit	82	Arreat Summit	[jg]Rocky Summit
Act 5 - Nihlathak's Temple	83	Nihlathak's Temple	[jg]Nihlathaks Temple
Act 5 - Halls	84	Halls	[jg]Temple Halls
Act 5 - Abaddon	85	Abaddon	[jg]Hell1
Act 5 - Pit of Acheron	86	Pit of Acheron	[jg]Hell2
Act 5 - Infernal Pit	87	Infernal Pit	[jg]Hell3
Act 5 - Worldstone Keep	88	The Worldstone Keep	[jg]The Worldstone Keep
Act 5 - Throne of Destruction	89	Throne of Destruction	[jg]Throne of Destruction
Act 5 - Worldstone Chamber	90	The Worldstone Chamber	[jg]The Worldstone Chamber
Act 5 - Matron's Den	91	Matron's Den	[jg]Pandemonium Run 1
Act 5 - Forgotten Sands	92	Forgotten Sands	[jg]Pandemonium Run 2
Act 5 - Furnace of Pain	93	Furnace of Pain	[jg]Pandemonium Run 3
Act 5 - Tristram	94	Tristram	[jg]Tristram The Pan demonium Finale
