Name	Id	*StringName	GroupName
Act 4 - Town	65	The Pandemonium Fortress	The Pandemonium Fortress
Act 4 - Outer Steppes	66	Outer Steppes	Tz Outer Steppes
Act 4 - Plains of Despair	67	Plains of Despair	Tz Plains of Despair
Act 4 - City of the Damned	68	City of the Damned	Tz City of the Damned
Act 4 - River of Flame	69	River of Flame	Tz River of Flame
Act 4 - Chaos Sanctuary	70	The Chaos Sanctuary	Tz Chaos Sanctum
Expansion			
Act 5 - Town	71	Harrogath	Harrogath
Act 5 - Bloody Foothills	72	Bloody Foothills	Tz Bloody Foothills
Act 5 - Frigid Highlands	73	Frigid Highlands	Tz Rigid Highlands
Act 5 - Arreat Plateau	74	Arreat Plateau	Tz Arreat Plateau
Act 5 - Crystalline Passage	75	Crystalline Passage	Tz Crystalized Cavern Level 1
Act 5 - Frozen River	76	Frozen River	Tz Cellar of Pity
Act 5 - Glacial Trail	77	Glacial Trail	Tz Crystalized Cavern Level 2
Act 5 - Drifter Cavern	78	Drifter Cavern	Tz Echo Chamber
Act 5 - Frozen Tundra	79	Frozen Tundra	Tundra Wastelands
Act 5 - The Ancient's Way	80	The Ancients' Way	Tz Glacial Caves Level 1
Act 5 - Icy Cellar	81	Icy Cellar	Tz Glacial Caves Level 2
Act 5 - Arreat Summit	82	Arreat Summit	Rocky Summit
Act 5 - Nihlathak's Temple	83	Nihlathak's Temple	Tz Nihlathaks Temple
Act 5 - Halls	84	Halls	Temple Halls
Act 5 - Abaddon	85	Abaddon	Tz Hell1
Act 5 - Pit of Acheron	86	Pit of Acheron	Tz Hell2
Act 5 - Infernal Pit	87	Infernal Pit	Hell3
Act 5 - Worldstone Keep	88	The Worldstone Keep	The Worldstone Keep
Act 5 - Throne of Destruction	89	Throne of Destruction	Tz Throne of Destruction
Act 5 - Worldstone Chamber	90	The Worldstone Chamber	Tz The Worldstone Chamber
Act 5 - Matron's Den	91	Matron's Den	Pandemonium Run 1
Act 5 - Forgotten Sands	92	Forgotten Sands	Pandemonium Run 2
Act 5 - Furnace of Pain	93	Furnace of Pain	Pandemonium Run 3
Act 5 - Tristram	94	Tristram	Tristram
